user_id,signup_date,cohort_month,plan,industry,acquisition_source,funnel_stage,logins_per_month,features_used,support_tickets,session_duration,monthly_revenue,days_to_convert,is_converted,is_churned
1001,2023-01-01 00:00:00.000000000,2023-01,Free Trial,Finance,Paid Ad,Active,32,8,5,26.4,0,0,0,0
1002,2023-01-01 05:14:37.310924369,2023-01,Enterprise,Finance,Paid Ad,Converted,36,9,6,13.3,299,71,1,0
1003,2023-01-01 10:29:14.621848739,2023-01,Pro,Retail,Social Media,Active,37,5,0,26.1,0,0,0,0
1004,2023-01-01 15:43:51.932773109,2023-01,Basic,Education,Paid Ad,Active,14,4,0,24.3,0,0,0,0
1005,2023-01-01 20:58:29.243697478,2023-01,Free Trial,Technology,Social Media,Active,27,4,2,44.8,0,0,0,0
1006,2023-01-02 02:13:06.554621848,2023-01,Free Trial,Technology,Organic,Churned,19,4,1,46.9,0,0,0,1
1007,2023-01-02 07:27:43.865546218,2023-01,Free Trial,Finance,Social Media,Active,31,6,7,37.2,0,0,0,0
1008,2023-01-02 12:42:21.176470588,2023-01,Pro,Healthcare,Social Media,Converted,9,11,3,3.3,99,24,1,0
1009,2023-01-02 17:56:58.487394957,2023-01,Basic,Finance,Organic,Converted,38,4,5,56.0,49,40,1,0
1010,2023-01-02 23:11:35.798319327,2023-01,Pro,Finance,Paid Ad,Churned,17,7,1,41.8,0,0,0,1
1011,2023-01-03 04:26:13.109243697,2023-01,Free Trial,Technology,Organic,Churned,19,7,6,4.0,0,0,0,1
1012,2023-01-03 09:40:50.420168067,2023-01,Enterprise,Finance,Referral,Churned,44,5,6,49.5,0,0,0,1
1013,2023-01-03 14:55:27.731092436,2023-01,Pro,Healthcare,Paid Ad,Active,4,5,7,13.6,0,0,0,0
1014,2023-01-03 20:10:05.042016806,2023-01,Free Trial,Healthcare,Referral,Trial,11,10,5,35.6,0,0,0,0
1015,2023-01-04 01:24:42.352941176,2023-01,Free Trial,Retail,Organic,Active,22,8,1,29.1,0,0,0,0
1016,2023-01-04 06:39:19.663865546,2023-01,Free Trial,Education,Organic,Churned,4,7,7,26.4,0,0,0,1
1017,2023-01-04 11:53:56.974789915,2023-01,Free Trial,Technology,Organic,Onboarded,17,7,7,53.6,0,0,0,0
1018,2023-01-04 17:08:34.285714285,2023-01,Basic,Healthcare,Paid Ad,Active,8,6,7,27.4,0,0,0,0
1019,2023-01-04 22:23:11.596638655,2023-01,Free Trial,Retail,Referral,Converted,34,7,7,6.4,29,76,1,0
1020,2023-01-05 03:37:48.907563025,2023-01,Free Trial,Retail,Social Media,Trial,11,7,3,56.9,0,0,0,0
1021,2023-01-05 08:52:26.218487394,2023-01,Basic,Retail,Referral,Active,31,10,6,55.4,0,0,0,0
1022,2023-01-05 14:07:03.529411764,2023-01,Free Trial,Technology,Paid Ad,Active,11,2,7,41.7,0,0,0,0
1023,2023-01-05 19:21:40.840336134,2023-01,Free Trial,Technology,Email Campaign,Active,38,10,5,29.1,0,0,0,0
1024,2023-01-06 00:36:18.151260504,2023-01,Free Trial,Healthcare,Referral,Converted,21,2,0,7.4,29,41,1,0
1025,2023-01-06 05:50:55.462184873,2023-01,Basic,Finance,Email Campaign,Active,30,10,2,47.9,0,0,0,0
1026,2023-01-06 11:05:32.773109243,2023-01,Pro,Technology,Paid Ad,Converted,10,7,5,6.4,99,8,1,0
1027,2023-01-06 16:20:10.084033613,2023-01,Free Trial,Technology,Organic,Active,26,10,4,6.0,0,0,0,0
1028,2023-01-06 21:34:47.394957983,2023-01,Basic,Education,Organic,Converted,27,7,6,33.2,49,55,1,0
1029,2023-01-07 02:49:24.705882352,2023-01,Basic,Technology,Referral,Converted,8,7,7,11.3,49,89,1,0
1030,2023-01-07 08:04:02.016806722,2023-01,Free Trial,Education,Organic,Onboarded,39,5,6,2.4,0,0,0,0
1031,2023-01-07 13:18:39.327731092,2023-01,Basic,Retail,Paid Ad,Onboarded,8,1,7,26.5,0,0,0,0
1032,2023-01-07 18:33:16.638655462,2023-01,Free Trial,Finance,Paid Ad,Trial,8,2,3,10.0,0,0,0,0
1033,2023-01-07 23:47:53.949579831,2023-01,Free Trial,Technology,Referral,Onboarded,34,9,3,11.3,0,0,0,0
1034,2023-01-08 05:02:31.260504201,2023-01,Enterprise,Technology,Referral,Converted,16,8,4,6.5,299,8,1,0
1035,2023-01-08 10:17:08.571428571,2023-01,Enterprise,Retail,Organic,Converted,41,8,6,13.9,299,74,1,0
1036,2023-01-08 15:31:45.882352941,2023-01,Pro,Finance,Paid Ad,Converted,13,10,7,43.5,99,66,1,0
1037,2023-01-08 20:46:23.193277310,2023-01,Free Trial,Retail,Referral,Converted,23,1,1,48.9,29,55,1,0
1038,2023-01-09 02:01:00.504201680,2023-01,Free Trial,Technology,Email Campaign,Onboarded,12,6,2,28.2,0,0,0,0
1039,2023-01-09 07:15:37.815126050,2023-01,Basic,Finance,Referral,Converted,27,9,1,31.4,49,23,1,0
1040,2023-01-09 12:30:15.126050420,2023-01,Free Trial,Finance,Email Campaign,Active,22,8,4,3.9,0,0,0,0
1041,2023-01-09 17:44:52.436974789,2023-01,Free Trial,Retail,Social Media,Onboarded,32,3,4,6.0,0,0,0,0
1042,2023-01-09 22:59:29.747899159,2023-01,Basic,Finance,Referral,Onboarded,27,4,2,16.9,0,0,0,0
1043,2023-01-10 04:14:07.058823529,2023-01,Free Trial,Finance,Organic,Active,2,3,4,33.5,0,0,0,0
1044,2023-01-10 09:28:44.369747899,2023-01,Enterprise,Retail,Referral,Churned,33,6,4,44.9,0,0,0,1
1045,2023-01-10 14:43:21.680672268,2023-01,Free Trial,Technology,Referral,Onboarded,26,9,6,37.1,0,0,0,0
1046,2023-01-10 19:57:58.991596638,2023-01,Basic,Healthcare,Referral,Onboarded,28,8,5,24.7,0,0,0,0
1047,2023-01-11 01:12:36.302521008,2023-01,Free Trial,Technology,Paid Ad,Converted,19,10,7,8.9,29,67,1,0
1048,2023-01-11 06:27:13.613445378,2023-01,Basic,Healthcare,Paid Ad,Active,43,4,6,47.3,0,0,0,0
1049,2023-01-11 11:41:50.924369747,2023-01,Basic,Healthcare,Paid Ad,Churned,5,2,2,23.1,0,0,0,1
1050,2023-01-11 16:56:28.235294117,2023-01,Free Trial,Technology,Paid Ad,Converted,33,8,3,44.7,29,82,1,0
1051,2023-01-11 22:11:05.546218487,2023-01,Enterprise,Technology,Organic,Churned,20,8,1,31.8,0,0,0,1
